Method,Round,Expected Reward,Regret,Real Reward
Expected Reward,0,2.0747919255401692,0.0,2.6519808181820057
Expected Reward,1,2.0747919255401692,0.0,1.7181873562010097
Expected Reward,2,2.0747919255401692,0.0,2.3041403908968037
Expected Reward,3,2.0747919255401692,0.0,1.6829528287345918
Expected Reward,4,2.0747919255401692,0.0,1.6578841774256539
Expected Reward,5,4.339889763042,0.0,4.63232423403414
Expected Reward,6,4.339889763042,0.0,4.162954072663405
Expected Reward,7,4.339889763042,0.0,4.397639153348773
Expected Reward,8,4.339889763042,0.0,4.63232423403414
Expected Reward,9,4.339889763042,0.0,4.63232423403414
Expected Reward,10,4.691922462832002,0.0,4.693701613707347
Expected Reward,11,4.691922462832002,0.0,4.693701613707347
Expected Reward,12,4.691922462832002,0.0,4.693701613707347
Expected Reward,13,4.691922462832002,0.0,4.693701613707347
Expected Reward,14,4.691922462832002,0.0,4.693701613707347
Expected Reward,15,4.693667252734938,0.0,4.693701613707347
Expected Reward,16,4.693667252734938,0.0,4.693701613707347
Expected Reward,17,4.693667252734938,0.0,4.693701613707347
Expected Reward,18,4.693667252734938,0.0,4.693701613707347
Expected Reward,19,4.693667252734938,0.0,4.693701613707347
Expected Reward MLE,0,1.0555321877980959,1.0840174103693412,1.048710863499785
Expected Reward MLE,1,1.0281175586263758,1.1114320395410613,1.107994742683355
Expected Reward MLE,2,1.40929766873331,0.7302519294341273,1.359988829200224
Expected Reward MLE,3,1.3770982878913485,0.7624513102760888,2.224366403670735
Expected Reward MLE,4,1.4177287925762354,0.7218208055912021,1.5723888207868697
Expected Reward MLE,5,3.196004460075239,1.376519541885521,2.9787450226915504
Expected Reward MLE,6,3.304690968990079,1.2678330329706806,3.3697271213939715
Expected Reward MLE,7,3.5331493656994817,1.0393746362612784,3.482553541345864
Expected Reward MLE,8,3.5181649609264527,1.0543590410343073,3.533137428643547
Expected Reward MLE,9,3.6504543391499396,0.9220696628108198,3.7766709657849256
Expected Reward MLE,10,3.796855152477088,0.8961002867784785,3.7996717491124903
Expected Reward MLE,11,3.7722059533407437,0.9207494859148229,3.7766709657849256
Expected Reward MLE,12,3.7632288635362294,0.929726575719337,3.7987911159086045
Expected Reward MLE,13,3.7632288635362294,0.929726575719337,3.7987911159086045
Expected Reward MLE,14,3.7878780626725743,0.9050773765829925,3.8217918992361697
Expected Reward MLE,15,3.8638517260892384,0.8298476680842566,3.868616377210332
Expected Reward MLE,16,3.8638517260892384,0.8298476680842566,3.868616377210332
Expected Reward MLE,17,3.8638517260892384,0.8298476680842566,3.868616377210332
