Method,Round,Expected Reward,Regret,Real Reward
Expected Reward,0,2.0266992342420447,0.0,2.100364049962695
Expected Reward,1,1.9564645309867816,0.0,2.1141724264425266
Expected Reward,2,1.8998357309418286,0.0,2.3535444675988675
Expected Reward,3,1.8652921767365547,0.0,1.811631911224174
Expected Reward,4,1.8408550056917967,0.0,2.0691211531542857
Expected Reward,5,1.8133418487668667,0.0,2.000941734275139
Expected Reward,6,1.789493589607874,0.0,1.4234201916839173
Expected Reward,7,1.7663023428721454,0.0,1.3992346912202556
Expected Reward,8,1.7492627562558771,0.0,1.7456897003518046
Expected Reward,9,1.7341706486275963,0.0,1.8863589924419728
Expected Reward,10,1.719576663481679,0.0,1.239116077802858
Expected Reward,11,1.702273623200639,0.0,1.839058621246467
Expected Reward,12,1.6900970376290079,0.0,1.5054501236437958
Expected Reward,13,1.6760543913158823,0.0,1.6888165028049016
Expected Reward,14,1.6633897579466017,0.0,1.3273541860882392
Expected Reward,15,1.6505781930780978,0.0,2.0878674011978657
Expected Reward,16,1.6372333797122876,0.0,1.6509870976932346
Expected Reward,17,1.628454415338521,0.0,2.0474070359989587
Expected Reward,18,1.6202672768759314,0.0,1.6655785037359294
Expected Reward,19,1.612059382224413,0.0,1.742977694213174
Expected Reward,20,1.6035998598167434,0.0,1.2570311130799223
Expected Reward,21,1.594637298220489,0.0,1.8774005814954753
Expected Reward,22,1.5876084282077798,0.0,1.562867301861125
Expected Reward,23,1.5808419289192106,0.0,1.4401696057443336
Expected Reward,24,1.5740521213358545,0.0,1.4816782390792909
Expected Reward,25,1.564658417453512,0.0,1.579353035200786
Expected Reward,26,1.556946016508934,0.0,1.5030326260414617
Expected Reward,27,1.5478445993064691,0.0,1.6715586010630814
Expected Reward,28,1.5401582011065833,0.0,1.4989150254632038
Expected Reward,29,1.531056628940356,0.0,1.4528755213047333
Expected Reward,30,1.5235625486842914,0.0,1.4021542812801473
Expected Reward,31,1.5169783216240218,0.0,1.3548491253170007
Expected Reward,32,1.5118158024801973,0.0,1.307711400876641
Expected Reward,33,1.5065291718481078,0.0,1.8875803769771013
