Method,Round,Expected Reward,Regret,Real Reward,Cumulated Expected Reward,Cumulated Regret,Cumulated Real Reward
Expected Reward,0,2.404862472102756,0.0,2.4668746202029745,2.404862472102756,0.0,2.4668746202029745
Expected Reward,1,2.286408764653794,0.0,2.22569872641369,4.691271236756561,0.0,4.692573346616678
Expected Reward,2,2.211501735506934,0.0,2.2560844452782445,6.902772972263498,0.0,6.9486577918949255
Expected Reward,3,2.1588634761946173,0.0,2.1511637634942384,9.061636448458097,0.0,9.099821555389152
Expected Reward,4,2.1120229585861705,0.0,2.1555669454932502,11.173659407044276,0.0,11.255388500882399
Expected Reward,5,2.0718956197056206,0.0,2.0498849142261903,13.245555026749892,0.0,13.305273415108585
Expected Reward,6,2.0390496277639927,0.0,2.0030814935210315,15.284604654513878,0.0,15.308354908629576
Expected Reward,7,2.0079210655198008,0.0,2.051112334830312,17.292525720033666,0.0,17.35946724345987
Expected Reward,8,1.9802551875487013,0.0,1.985693959323636,19.272780907582344,0.0,19.345161202783544
Expected Reward,9,1.9528080499238323,0.0,1.9252458226754436,21.22558895750616,0.0,21.270407025459004
Expected Reward,10,1.9282504647606558,0.0,1.9289764725824587,23.15383942226687,0.0,23.199383498041474
Expected Reward,11,1.9052614896729694,0.0,1.9313782418301653,25.059100911939797,0.0,25.130761739871655
Expected Reward,12,1.8828874049330386,0.0,1.9231191848657123,26.941988316872795,0.0,27.05388092473733
Expected Reward,13,1.8617110317492447,0.0,1.7880282586583591,28.803699348622086,0.0,28.841909183395757
Expected Reward,14,1.8413802976906164,0.0,1.8555649924047586,30.645079646312684,0.0,30.697474175800462
Expected Reward,15,1.8211082849100537,0.0,1.8174462114580574,32.4661879312228,0.0,32.51492038725845
Expected Reward,16,1.801851932207356,0.0,1.742908739711583,34.268039863430175,0.0,34.257829126970016
Expected Reward,17,1.7843990643108267,0.0,1.7723430547376406,36.052438927740944,0.0,36.030172181707734
Expected Reward,18,1.766754431931952,0.0,1.7917986319263646,37.8191933596729,0.0,37.82197081363411
Expected Reward,19,1.7496836335615182,0.0,1.7655243142063,39.56887699323446,0.0,39.58749512784042
