Method,Round,Expected Reward,Regret,Real Reward,Cumulated Expected Reward,Cumulated Regret,Cumulated Real Reward
Expected Reward,0,1.2658825018685367,0.0,0.8811313748441773,1.2658825018685367,0.0,0.8811313748441773
Expected Reward,1,1.2658825018685367,0.0,0.5426531500230235,2.5317650037370734,0.0,1.4237845248672008
Expected Reward,2,1.2658825018685367,0.0,1.1021226099914625,3.79764750560561,0.0,2.5259071348586635
Expected Reward MLE,0,0.4163971461308786,0.849485355737658,0.0,0.4163971461308786,0.849485355737658,0.0
Expected Reward MLE,1,0.6898016972571672,0.5760808046113695,0.0,1.1061988433880456,1.4255661603490275,0.0
Expected Reward MLE,2,0.5923572910970624,0.6735252107714742,1.269553748406474,1.6985561344851083,2.0990913711205015,1.269553748406474
Epsilon Greedy,0,0.49370823018475934,0.7721742716837773,0.0,0.49370823018475934,0.7721742716837773,0.0
Epsilon Greedy,1,0.6205469911638634,0.6453355107046733,1.5078296048461262,1.1142552213486228,1.4175097823884506,1.5078296048461262
Epsilon Greedy,2,0.4323959948086454,0.8334865070598912,1.5078296048461262,1.546651216157268,2.250996289448342,3.0156592096922523
Expected Reward UCB,0,0.4163971461308786,0.849485355737658,0.0,0.4163971461308786,0.849485355737658,0.0
Expected Reward UCB,1,0.7378113283475236,0.528071173521013,0.0,1.1542084744784022,1.377556529258671,0.0
Expected Reward UCB,2,0.5036822416202807,0.7622002602482558,0.0,1.6578907160986829,2.1397567895069267,0.0
Expected Reward Fisher,0,0.5570378977386085,0.7088446041299282,0.0,0.5570378977386085,0.7088446041299282,0.0
Expected Reward Fisher,1,0.6733958393105993,0.5924866625579375,0.0,1.2304337370492076,1.3013312666878656,0.0
Expected Reward Fisher,2,0.651872398723837,0.6140101031446997,1.269553748406474,1.8823061357730448,1.9153413698325654,1.269553748406474
Expected Reward Thompson,0,0.4268287944120804,0.8390537074564562,1.2352139792511854,0.4268287944120804,0.8390537074564562,1.2352139792511854
Expected Reward Thompson,1,0.722525922164461,0.5433565797040757,1.2052232639858214,1.1493547165765412,1.382410287160532,2.4404372432370067
Expected Reward Thompson,2,0.6147618061049636,0.651120695763573,0.0,1.764116522681505,2.033530982924105,2.4404372432370067
expected Reward Proxi,0,0.18455930269852336,1.0813231991700134,1.6717764214072186,0.18455930269852336,1.0813231991700134,1.6717764214072186
expected Reward Proxi,1,0.18455930269852336,1.0813231991700134,0.0,0.3691186053970467,2.162646398340027,1.6717764214072186
expected Reward Proxi,2,0.18455930269852336,1.0813231991700134,0.0,0.5536779080955702,3.24396959751004,1.6717764214072186
expected Reward Ellipsoid,0,0.4163971461308786,0.849485355737658,0.0,0.4163971461308786,0.849485355737658,0.0
expected Reward Ellipsoid,1,0.5126609996052754,0.7532215022632611,0.0,0.9290581457361541,1.6027068580009194,0.0
expected Reward Ellipsoid,2,0.5772663100825625,0.688616191785974,1.269553748406474,1.5063244558187165,2.2913230497868935,1.269553748406474
random Baseline,0,1.1070610559974507,0.1588214458710859,0.8811313748441773,1.1070610559974507,0.1588214458710859,0.8811313748441773
random Baseline,1,0.6224015698764315,0.6434809319921052,0.0,1.7294626258738823,0.8023023778631911,0.8811313748441773
random Baseline,2,0.7594685458235131,0.5064139560450236,0.0,2.488931171697395,1.3087163339082148,0.8811313748441773
