Round,Expected Reward,Regret,Real Reward,Cumulative Expected Reward,Cumulative Regret,Cumulative Real Reward,exploration_parameter
0,0.9724554663770203,0.917318288510515,0.9556897608552937,0.9724554663770203,0.917318288510515,0.9556897608552937,0.01
1,1.081235648232437,0.8039129585107703,1.1156962759677944,2.053691114609454,1.7212312470212838,2.0713860368230943,0.01
2,1.1419454103280176,0.7354081077874931,1.1504026072780218,3.1956365249374747,2.4566393548087806,3.221788644101114,0.01
3,1.19783243487029,0.6703556312015848,1.1666734571616644,4.39346895980777,3.1269949860103625,4.38846210126277,0.01
4,1.2062931262646581,0.6511826888625684,1.2063267391680073,5.599762086072421,3.7781776748729263,5.594788840430784,0.01
5,1.2684983217343138,0.579052417055842,1.254277660882215,6.868260407806734,4.357230091928772,6.849066501312985,0.01
6,1.2735416689152061,0.559123161918791,1.2682369182360576,8.141802076721946,4.916353253847563,8.117303419549042,0.01
7,1.2818860621873867,0.5376948453918801,1.2312726841304031,9.42368813890934,5.454048099239446,9.348576103679452,0.01
8,1.2714730059289876,0.5369990125873912,1.2762826271224488,10.695161144838323,5.9910471118268305,10.624858730801877,0.01
9,1.2826954331075415,0.5115510163785703,1.2479174961579256,11.977856577945868,6.5025981282054,11.872776226959802,0.01
10,1.2573510168328423,0.5243505763889547,1.2310027767716911,13.235207594778716,7.0269487045943615,13.103779003731491,0.01
11,1.2575486482171312,0.5114655684553092,1.28470571623322,14.492756242995837,7.53841427304967,14.388484719964712,0.01
12,1.2639641263669035,0.4912319263951179,1.2446565672268093,15.756720369362736,8.029646199444787,15.633141287191524,0.01
13,1.2617060904445103,0.48106276616756194,1.2148190427456829,17.018426459807237,8.510708965612352,16.847960329937212,0.01
14,1.2126462135318787,0.5164307016333706,1.232076673286201,18.231072673339124,9.027139667245715,18.08003700322341,0.01
15,1.2287697815009766,0.48900290921391804,1.262697531607143,19.45984245484007,9.51614257645964,19.34273453483058,0.01
16,1.2224946916463075,0.48362368361367597,1.229506436830934,20.6823371464864,9.999766260073315,20.572240971661515,0.01
17,1.191464489528508,0.5001091949663126,1.1684778779130391,21.87380163601491,10.499875455039623,21.740718849574563,0.01
18,1.191180683204937,0.48781232298041943,1.2167120023954543,23.064982319219805,10.987687778020032,22.957430851969985,0.01
19,1.190056278343165,0.47684084298401297,1.2097441714035895,24.255038597563026,11.464528621004057,24.167175023373595,0.01
20,1.1717554854735934,0.477016505071556,1.1710469572251354,25.426794083036608,11.94154512607561,25.338221980598725,0.01
21,1.1645125033154604,0.4709597943593335,1.0945152964547662,26.59130658635201,12.41250492043494,26.432737277053487,0.01
22,1.1509411605229327,0.47041611630008273,1.13573105074707,27.74224774687499,12.88292103673503,27.568468327800552,0.01
23,1.1614513034611629,0.445379173976605,1.1255392235458737,28.903699050336197,13.328300210711642,28.694007551346424,0.01
24,1.129563470693583,0.46050089259214605,1.0722873605814127,30.03326252102973,13.788801103303786,29.766294911927837,0.01
25,1.112542658031463,0.46494645551207175,1.1019272118282473,31.145805179061245,14.253747558815853,30.868222123756095,0.01
26,1.1014653867587416,0.4613046023265661,1.080647678662475,32.24727056581995,14.715052161142442,31.948869802418557,0.01
27,1.1073905040271346,0.43811041861557914,1.1502687588538427,33.35466106984711,15.153162579758005,33.099138561272405,0.01
28,1.0957950147666418,0.4312168044365423,1.1056942754454664,34.45045608461373,15.584379384194552,34.20483283671789,0.01
29,1.0871638753307737,0.42275664878218233,1.1211189121068148,35.53761995994454,16.00713603297673,35.325951748824664,0.01
0,0.9441769146012962,0.9128907190506892,0.9429669606410009,0.9441769146012962,0.9128907190506892,0.9429669606410009,0.05
1,1.0696578875821914,0.784699106834665,0.9690827521826363,2.0138348021834864,1.6975898258853541,1.9120497128236436,0.05
2,1.1201161653029865,0.7249359218764273,1.1210232571501253,3.1339509674864745,2.422525747761782,3.0330729699737673,0.05
3,1.148776476306015,0.6849664739170771,1.0866923763786769,4.28272744379249,3.1074922216788545,4.1197653463524375,0.05
4,1.1824891404569724,0.6423898306252008,1.1513570773348916,5.465216584249459,3.749882052304058,5.271122423687325,0.05
5,1.2262176473665245,0.5895551118704863,1.2337949657601874,6.691434231615993,4.339437164174541,6.5049173894475185,0.05
6,1.2431196055198195,0.5621526948375474,1.2501166244756792,7.934553837135801,4.901589859012088,7.75503401392319,0.05
7,1.2393904459833092,0.551437126986218,1.2039504364791982,9.173944283119116,5.453026985998306,8.958984450402387,0.05
8,1.2563296528667847,0.5212653938360043,1.2250011480207315,10.430273935985896,5.974292379834315,10.183985598423124,0.05
9,1.2289312719496488,0.5353714098707459,1.2081540114690708,11.659205207935555,6.5096637897050655,11.39213960989217,0.05
