Round,Expected Reward,Regret,Real Reward,Cumulative Expected Reward,Cumulative Regret,Cumulative Real Reward,exploration_parameter
0,1.854973062279528,0.0,1.8603610259719607,1.854973062279528,0.0,1.8603610259719607,0.01
1,1.7242742659439099,0.0,1.7193349434345628,3.5792473282234387,0.0,3.5796959694065618,0.01
2,1.6420561868044663,0.0,1.6446661666110751,5.2213035150279135,0.0,5.224362136017631,0.01
3,1.582887544433311,0.0,1.6048231112723754,6.804191059461231,0.0,6.829185247290004,0.01
4,1.5385970030250586,0.0,1.5716044923111376,8.342788062486289,0.0,8.400789739601148,0.01
5,1.49787741469262,0.0,1.4552701665734227,9.84066547717889,0.0,9.85605990617457,0.01
6,1.4610942777247915,0.0,1.4383955090578744,11.301759754903681,0.0,11.294455415232484,0.01
7,1.4287890614053358,0.0,1.432933960408103,12.730548816309055,0.0,12.72738937564056,0.01
8,1.3993402911195993,0.0,1.45582524800029,14.129889107428674,0.0,14.183214623640847,0.01
9,1.3714183394227997,0.0,1.405172270877873,15.50130744685144,0.0,15.588386894518711,0.01
10,1.3434234127394247,0.0,1.3586091664610376,16.844730859590843,0.0,16.94699606097976,0.01
11,1.3172818539722588,0.0,1.3560545703181972,18.162012713563122,0.0,18.303050631297946,0.01
12,1.2929580516256354,0.0,1.2538270584647082,19.45497076518874,0.0,19.556877689762633,0.01
13,1.2690346243984538,0.0,1.2728389739356105,20.7240053895872,0.0,20.82971666369822,0.01
14,1.2463172527244,0.0,1.2130229731715116,21.97032264231163,0.0,22.04273963686974,0.01
15,1.2238284817185596,0.0,1.2507846885747522,23.194151124030167,0.0,23.29352432544452,0.01
16,1.2011447883686832,0.0,1.2311277919910049,24.395295912398847,0.0,24.524652117435537,0.01
17,1.1789859968838046,0.0,1.1806273007232233,25.574281909282693,0.0,25.705279418158696,0.01
18,1.1568970339320241,0.0,1.1552525237876279,26.731178943214648,0.0,26.860531941946324,0.01
19,1.1360992362722426,0.0,1.1452168234645723,27.867278179486885,0.0,28.00574876541087,0.01
20,1.113657253802378,0.0,1.1263877769213555,28.980935433289318,0.0,29.132136542332262,0.01
21,1.0931411709084458,0.0,1.07629453894803,30.07407660419777,0.0,30.208431081280246,0.01
22,1.0719986622413886,0.0,1.0805155010844179,31.146075266439073,0.0,31.288946582364655,0.01
23,1.0514355624806642,0.0,1.0662471454478064,32.19751082891982,0.0,32.35519372781249,0.01
24,1.0299820042799104,0.0,1.0291707512183945,33.227492833199676,0.0,33.38436447903089,0.01
25,1.0082409889863952,0.0,1.0423170605955854,34.23573382218616,0.0,34.42668153962649,0.01
26,0.98624928389683,0.0,0.9807743267460832,35.22198310608296,0.0,35.40745586637252,0.01
27,0.9651522940271383,0.0,0.930563737949584,36.1871354001101,0.0,36.338019604322135,0.01
28,0.9430876020368776,0.0,0.975555265248523,37.13022300214697,0.0,37.313574869570665,0.01
29,0.9205539968352822,0.0,0.9076025457219753,38.05077699898222,0.0,38.221177415292644,0.01
0,1.817920343845583,0.0,1.8172430631963261,1.817920343845583,0.0,1.8172430631963261,0.05
1,1.6895587458911712,0.0,1.712034773457986,3.5074790897367496,0.0,3.5292778366543525,0.05
2,1.60744106143934,0.0,1.612210464063714,5.1149201511761,0.0,5.14148830071805,0.05
3,1.5503614403456092,0.0,1.547041405511701,6.6652815915217,0.0,6.688529706229731,0.05
4,1.506294968261747,0.0,1.473904108918597,8.17157655978347,0.0,8.162433815148342,0.05
5,1.465808240118371,0.0,1.4440800612740698,9.637384799901826,0.0,9.606513876422415,0.05
6,1.4309478058907954,0.0,1.4237286916094576,11.068332605792628,0.0,11.030242568031879,0.05
7,1.3995027432016387,0.0,1.3646210673746653,12.467835348994257,0.0,12.394863635406539,0.05
8,1.3694578885610034,0.0,1.3654864264480264,13.837293237555256,0.0,13.760350061854599,0.05
9,1.3415801555731106,0.0,1.3401436379796976,15.178873393128338,0.0,15.100493699834285,0.05
10,1.3145050131204994,0.0,1.3145571474446243,16.493378406248887,0.0,16.415050847278895,0.05
11,1.2899328500662095,0.0,1.2437828650514153,17.783311256315084,0.0,17.658833712330292,0.05
12,1.265771431616738,0.0,1.2567479162156063,19.049082687931783,0.0,18.915581628545922,0.05
13,1.2423250549876566,0.0,1.2142751641857092,20.291407742919493,0.0,20.129856792731623,0.05
14,1.2201096573938235,0.0,1.224625987804426,21.51151740031335,0.0,21.35448278053604,0.05
15,1.1972615900423789,0.0,1.1982201631206404,22.708778990355672,0.0,22.55270294365672,0.05
16,1.173940786749678,0.0,1.1575534944165238,23.88271977710538,0.0,23.71025643807322,0.05
17,1.15177264875078,0.0,1.1792073575695419,25.034492425856143,0.0,24.889463795642715,0.05
18,1.131014524518708,0.0,1.0755949814088235,26.165506950374915,0.0,25.96505877705156,0.05
19,1.1097690817631716,0.0,1.171496305557075,27.275276032138013,0.0,27.136555082608698,0.05
20,1.0882116055476196,0.0,1.1014363901237552,28.363487637685633,0.0,28.237991472732407,0.05
21,1.0681348702151061,0.0,1.0817885499620405,29.431622507900734,0.0,29.319780022694452,0.05
22,1.0463248450102522,0.0,1.0076428641305955,30.47794735291105,0.0,30.327422886824998,0.05
23,1.0259421143404537,0.0,0.9998150364182354,31.503889467251444,0.0,31.3272379232432,0.05
24,1.004849894534607,0.0,0.927728512832124,32.508739361786034,0.0,32.25496643607532,0.05
25,0.9839452196156285,0.0,0.9438886731861533,33.49268458140171,0.0,33.198855109261494,0.05
26,0.9640211064161419,0.0,1.00124931889426,34.45670568781781,0.0,34.20010442815564,0.05
27,0.9426936878499647,0.0,0.9086501549173104,35.399399375667834,0.0,35.10875458307302,0.05
28,0.9205981004597055,0.0,0.8971930668913762,36.3199974761275,0.0,36.00594764996441,0.05
29,0.8983652227919985,0.0,0.937391719171005,37.21836269891946,0.0,36.943339369135494,0.05
0,1.8352355650770737,0.0,1.8880834391612193,1.8352355650770737,0.0,1.8880834391612193,0.1
1,1.7087905065054043,0.0,1.7339831344534475,3.54402607158248,0.0,3.622066573614711,0.1
2,1.6320553984515374,0.0,1.6096540380272966,5.1760814700340125,0.0,5.231720611641992,0.1
3,1.573543413853631,0.0,1.547581248417011,6.749624883887644,0.0,6.779301860058997,0.1
4,1.5264425932703838,0.0,1.5552697782877973,8.27606747715803,0.0,8.334571638346798,0.1
5,1.48691594484066,0.0,1.4534749159591314,9.762983421998662,0.0,9.788046554305943,0.1
6,1.4516767995253061,0.0,1.460572557423938,11.21466022152399,0.0,11.2486191117299,0.1
7,1.4197101742237146,0.0,1.398783487190925,12.634370395747716,0.0,12.647402598920822,0.1
8,1.3886512461135365,0.0,1.400798656313831,14.023021641861254,0.0,14.048201255234668,0.1
9,1.36125985950519,0.0,1.3986516186225384,15.384281501366468,0.0,15.446852873857182,0.1
10,1.3335534898540768,0.0,1.322399175192973,16.71783499122052,0.0,16.769252049050145,0.1
11,1.3072597125301453,0.0,1.329010007857353,18.02509470375065,0.0,18.098262056907434,0.1
12,1.28208651921046,0.0,1.2430315892562864,19.30718122296111,0.0,19.341293646163752,0.1
13,1.2594605385438016,0.0,1.2700927315899562,20.56664176150489,0.0,20.61138637775368,0.1
14,1.2360955603977426,0.0,1.2612925622180586,21.802737321902658,0.0,21.872678939971763,0.1
15,1.2138813403938784,0.0,1.1952560855081376,23.016618662296572,0.0,23.067935025479937,0.1
16,1.191213403653636,0.0,1.1878849487329326,24.207832065950214,0.0,24.255819974212848,0.1
17,1.1694608224626881,0.0,1.1623911564766507,25.377292888412835,0.0,25.418211130689542,0.1
18,1.148540030578066,0.0,1.1725318046148454,26.525832918990904,0.0,26.59074293530434,0.1
19,1.127528901504876,0.0,1.1080643023291994,27.653361820495814,0.0,27.69880723763357,0.1
20,1.1067080193082948,0.0,1.1142954413322939,28.76006983980405,0.0,28.81310267896582,0.1
