Round,Expected Reward,Regret,Real Reward,Cumulative Expected Reward,Cumulative Regret,Cumulative Real Reward,exploration_parameter
0,0.964218913996502,0.8925342812126041,0.9512164944911125,0.964218913996502,0.8925342812126041,0.9512164944911125,0.01
1,1.1160212950608848,0.7343335592327078,1.0909378168506332,2.080240209057384,1.626867840445309,2.042154311341751,0.01
2,1.1807696078916068,0.6541791913610505,1.179575055613504,3.261009816948994,2.2810470318063625,3.2217293669552762,0.01
3,1.204610681233928,0.6175305484546095,1.1884094201942799,4.465620498182922,2.898577580260965,4.4101387871495525,0.01
4,1.24037672136563,0.5679384282144991,1.2584885204497882,5.7059972195485535,3.4665160084754634,5.668627307599323,0.01
5,1.374373478931485,0.5610219471049795,1.3756123326071306,7.0803706984800545,4.027537955580449,7.044239640206432,0.01
6,1.357759444179481,0.5587064051499235,1.369573203948154,8.438130142659526,4.586244360730368,8.413812844154592,0.01
7,1.362635596572921,0.5383641592799152,1.4040456547794338,9.800765739232421,5.124608520010282,9.81785849893401,0.01
8,1.3293495467518697,0.5573499682887443,1.3002036648746684,11.130115285984296,5.681958488299025,11.118062163808712,0.01
9,1.3247909782677314,0.5507041408938985,1.3022715835211438,12.454906264252013,6.2326626291929275,12.420333747329835,0.01
10,1.3955317024179288,0.607702376296206,1.3917182621513855,13.850437966669956,6.840365005489129,13.812052009481222,0.01
11,1.3760496776408697,0.6155269312470045,1.3783086903895059,15.226487644310861,7.4558919367361245,15.190360699870716,0.01
12,1.3610994148593238,0.6201308330040028,1.3791612600201033,16.58758705917016,8.076022769740137,16.569521959890846,0.01
13,1.3495209007410658,0.6210384232055622,1.3465946386519947,17.937107959911234,8.697061192945737,17.91611659854283,0.01
14,1.3441281918993162,0.614648138535901,1.341424373900299,19.2812361518105,9.311709331481595,19.257540972443145,0.01
15,1.3979636916357812,0.6974721276822347,1.3690154798005478,20.679199843446405,10.009181459163823,20.62655645224367,0.01
16,1.3716217260807568,0.7123706715810829,1.3802411557280359,22.050821569527063,10.721552130744914,22.006797607971723,0.01
17,1.3567726746989348,0.7171202312452954,1.3544974197179036,23.407594244225994,11.438672361990207,23.36129502768958,0.01
18,1.342606902342578,0.7192469162982242,1.3018717524110022,24.750201146568568,12.157919278288457,24.66316678010058,0.01
19,1.340498141555893,0.709196395916443,1.3330440984209602,26.09069928812451,12.867115674204898,25.996210878521552,0.01
20,1.4131215084999653,0.7748758689132788,1.4017836753235606,27.503820796624428,13.641991543118127,27.397994553845102,0.01
21,1.3985664830296993,0.7760763909958105,1.4015888084601773,28.902387279654125,14.41806793411397,28.79958336230533,0.01
22,1.399218079006378,0.7627078935721064,1.4073987224275797,30.30160535866061,15.180775827686086,30.206982084732957,0.01
23,1.3799187068764645,0.7684379240281105,1.4015296681039786,31.681524065537037,15.94921375171421,31.608511752836826,0.01
24,1.3816599751386647,0.7501487204973946,1.405092044576502,33.063184040675644,16.699362472211607,33.013603797413325,0.01
25,1.4542359192506118,0.8157753165592235,1.458031922238629,34.51741995992627,17.515137788770843,34.47163571965193,0.01
26,1.4474236800933087,0.8040921397581925,1.4737956790223388,35.96484364001955,18.319229928528998,35.94543139867433,0.01
27,1.4428919807726392,0.7882796721859822,1.471894120837131,37.4077356207923,19.107509600715012,37.41732551951133,0.01
28,1.4545055505161375,0.7578965064448194,1.451412599200505,38.86224117130837,19.86540610715981,38.86873811871194,0.01
29,1.450060222681266,0.740053589222966,1.4808782817934931,40.31230139398968,20.60545969638275,40.34961640050544,0.01
