Round,Expected Reward,Regret,Real Reward,Cumulative Expected Reward,Cumulative Regret,Cumulative Real Reward,exploration_parameter
0,0.9544267372498869,0.9211653438930213,0.9819532338072773,0.9544267372498869,0.9211653438930213,0.9819532338072773,0.01
1,1.089644723523805,0.785947357619103,1.0810367011510709,2.0440714607736927,1.7071127015121241,2.062989934958349,0.01
2,1.104314780223619,0.7712773009192891,0.9564281607369008,3.148386240997309,2.478390002431414,3.0194180956952503,0.01
3,1.1400693301279972,0.7355227510149114,1.0772045070681335,4.288455571125309,3.2139127534463254,4.096622602763384,0.01
4,1.1443552523074298,0.7312368288354789,1.0034482986942397,5.432810823432741,3.945149582281803,5.100070901457624,0.01
5,1.190472244416438,0.6851198367264705,1.1682006755667496,6.623283067849175,4.6302694190082745,6.2682715770243735,0.01
6,1.1682880625479648,0.7073040185949432,1.0915002424719067,7.7915711303971396,5.337573437603217,7.359771819496278,0.01
7,1.2233612255775013,0.6522308555654068,1.3627008989896006,9.014932355974643,5.989804293168623,8.722472718485877,0.01
8,1.216675877593494,0.658916203549415,1.091709498619131,10.231608233568132,6.6487204967180356,9.814182217105008,0.01
9,1.2567368431909598,0.6188552379519487,1.3407597903702182,11.488345076759096,7.267575734669989,11.15494200747523,0.01
10,1.1665844067162934,0.709007674426615,1.2479435049870555,12.654929483475385,7.976583409096608,12.402885512462284,0.01
11,1.2474740813083618,0.6281179998345466,1.2603829881574924,13.902403564783752,8.60470140893115,13.663268500619772,0.01
12,1.3337805064620722,0.5418115746808364,1.606565693530265,15.236184071245816,9.146512983611988,15.26983419415004,0.01
13,1.2774005334417604,0.5981915477011481,1.2192304740723627,16.513584604687583,9.744704531313129,16.489064668222408,0.01
14,1.268810548686476,0.6067815324564321,1.3345039991481806,17.782395153374054,10.351486063769567,17.823568667370587,0.01
15,1.3145396449435083,0.5610524361994,1.4741108490981754,19.096934798317562,10.91253849996896,19.297679516468758,0.01
16,1.3126134371070308,0.5629786440358772,1.348623341080436,20.409548235424598,11.475517144004842,20.6463028575492,0.01
17,1.3756241574848511,0.4999679236580571,1.2997087167417607,21.78517239290944,11.9754850676629,21.94601157429096,0.01
18,1.3961550603993766,0.47943702074353195,1.475820129372598,23.181327453308818,12.45492208840643,23.42183170366356,0.01
19,1.4126370803723447,0.4629550007705634,1.3905896883128372,24.593964533681177,12.917877089177,24.812421391976397,0.01
20,1.3877918833939529,0.48780019774895556,1.3943414340359106,25.98175641707511,13.40567728692595,26.2067628260123,0.01
21,1.4204764220740642,0.45511565906884416,1.3107712390888842,27.402232839149175,13.860792945994799,27.51753406510118,0.01
22,1.441105733410685,0.4344863477322234,1.3078630462540906,28.843338572559873,14.295279293727013,28.825397111355272,0.01
23,1.4348735379931115,0.44071854314979675,1.4864553754160164,30.278212110552982,14.735997836876809,30.3118524867713,0.01
24,1.4573390450200392,0.41825303612286896,1.5067039186881914,31.73555115557303,15.15425087299968,31.818556405459468,0.01
25,1.431926683900194,0.4436653972427142,1.492919174810644,33.167477839473214,15.59791627024239,33.31147558027013,0.01
26,1.4542774572839503,0.4213146238589577,1.470497438460978,34.62175529675716,16.019230894101355,34.78197301873109,0.01
27,1.4348232932300777,0.4407687879128303,1.4984147140960815,36.05657858998725,16.459999682014185,36.28038773282718,0.01
28,1.4958558372269004,0.3797362439160076,1.4489647551798828,37.552434427214145,16.839735925930192,37.72935248800706,0.01
29,1.478843088669874,0.39674899247303463,1.6580825520113032,39.03127751588403,17.23648491840323,39.387435040018346,0.01
30,1.499390387503754,0.3762016936391548,1.4350608715240407,40.53066790338778,17.61268661204238,40.82249591154239,0.01
31,1.5027636247545817,0.3728284563883267,1.5454421553107451,42.033431528142366,17.985515068430715,42.36793806685316,0.01
32,1.4561825558452637,0.4194095252976446,1.273095186116973,43.48961408398762,18.404924593728357,43.641033252970125,0.01
33,1.4785054602386456,0.39708662090426267,1.395168980311652,44.968119544226255,18.802011214632618,45.03620223328179,0.01
34,1.4715375503576853,0.40405453078522285,1.5109357431999058,46.43965709458394,19.206065745417842,46.54713797648167,0.01
35,1.4614166511631737,0.4141754299797343,1.541307224302784,47.90107374574713,19.62024117539757,48.08844520078446,0.01
36,1.48613029528931,0.3894617858535977,1.4589356274436758,49.38720404103642,20.009702961251183,49.54738082822814,0.01
37,1.47079928263475,0.4047927985081581,1.3935107262197663,50.85800332367117,20.414495759759326,50.94089155444791,0.01
38,1.4838943542605083,0.39169772688239973,1.4341510669116349,52.341897677931705,20.80619348664173,52.37504262135954,0.01
39,1.4646225962452402,0.41096948489766755,1.5265802120683412,53.80652027417692,21.217162971539395,53.90162283342789,0.01
40,1.49282824386444,0.38276383727846797,1.479586791467308,55.29934851804138,21.599926808817862,55.38120962489522,0.01
41,1.5190290853799644,0.3565629957629436,1.5802775082816714,56.818377603421325,21.956489804580816,56.96148713317686,0.01
42,1.51316059861458,0.3624314825283279,1.3790932668762803,58.33153820203591,22.318921287109127,58.34058040005314,0.01
43,1.4981979158939172,0.37739416524899083,1.6805208825110354,59.82973611792984,22.696315452358135,60.02110128256419,0.01
44,1.4996109298071472,0.375981151335761,1.6037949877827893,61.329347047736995,23.072296603693893,61.62489627034695,0.01
45,1.5103561490859783,0.36523593205692967,1.5761255438544162,62.83970319682292,23.437532535750833,63.20102181420136,0.01
46,1.501400377385888,0.3741917037570201,1.5449168902349444,64.3411035742088,23.811724239507843,64.74593870443633,0.01
47,1.5102848118267227,0.36530726931618496,1.5792592295731744,65.85138838603555,24.177031508824033,66.32519793400954,0.01
48,1.5190273683458093,0.35656471279709817,1.599045754115119,67.37041575438137,24.533596221621128,67.92424368812462,0.01
49,1.5406763869575197,0.33491569418538836,1.4899843664843218,68.91109214133887,24.868511915806526,69.41422805460894,0.01
0,0.8761053983131495,0.889449703776884,0.8458688356446664,0.8761053983131495,0.889449703776884,0.8458688356446664,0.05
1,0.9521519564578236,0.8134031456322096,0.9981193855122057,1.8282573547709733,1.7028528494090927,1.8439882211568719,0.05
2,1.0478811060393176,0.7176739960507156,1.0141357743093353,2.8761384608102905,2.420526845459809,2.858123995466209,0.05
3,1.0089250904697689,0.7566300116202643,0.8389347849961994,3.8850635512800613,3.1771568570800737,3.697058780462407,0.05
4,0.9954123989669132,0.7701427031231204,1.1310436834770896,4.880475950246972,3.947299560203194,4.828102463939497,0.05
5,1.0236974853879193,0.7418576167021138,0.8192168134783795,5.904173435634891,4.689157176905308,5.647319277417876,0.05
6,1.1276117446510852,0.6379433574389478,1.447986288656893,7.031785180285977,5.327100534344257,7.095305566074768,0.05
7,1.133519189621067,0.6320359124689664,1.1527977639012013,8.165304369907043,5.95913644681322,8.248103329975969,0.05
8,1.146214651313518,0.6193404507765158,1.4305702001499183,9.311519021220562,6.5784768975897405,9.678673530125888,0.05
9,1.1692972403533795,0.5962578617366541,1.217955863603247,10.480816261573942,7.174734759326388,10.896629393729137,0.05
10,1.1916429768332975,0.5739121252567355,1.2552896286585185,11.672459238407244,7.748646884583126,12.151919022387654,0.05
11,1.1739895293166858,0.5915655727733472,1.2864629572932853,12.846448767723928,8.340212457356477,13.438381979680935,0.05
12,1.1974839128185697,0.5680711892714634,1.3101419241690615,14.0439326805425,8.90828364662794,14.748523903849998,0.05
13,1.241924357979561,0.5236307441104724,1.1098311130254208,15.285857038522057,9.43191439073841,15.858355016875416,0.05
14,1.2080133565025042,0.5575417455875288,1.4610790965721834,16.493870395024555,9.989456136325936,17.319434113447603,0.05
15,1.2039734019942754,0.5615817000957573,1.30694879947425,17.697843797018834,10.551037836421697,18.62638291292186,0.05
16,1.2497346318588007,0.5158204702312326,1.2015039592910228,18.947578428877634,11.066858306652927,19.82788687221288,0.05
17,1.2674653633629511,0.4980897387270822,1.266575500569665,20.21504379224059,11.564948045380014,21.094462372782544,0.05
18,1.3436120419519941,0.42194306013803945,1.3408980301557694,21.558655834192585,11.986891105518055,22.435360402938315,0.05
19,1.3412875771768082,0.42426752491322495,1.4060548378986892,22.899943411369403,12.411158630431274,23.841415240837012,0.05
20,1.3361339008213247,0.42942120126870853,1.4429422527499776,24.236077312190705,12.840579831699978,25.284357493586977,0.05
21,1.2905549289262148,0.47500017316381765,1.3368274266513844,25.52663224111693,13.3155800048638,26.62118492023837,0.05
22,1.3169778260093796,0.4485772760806532,1.3920234662744844,26.84361006712631,13.76415728094446,28.013208386512847,0.05
23,1.330633460607494,0.43492164148253865,1.124486021999266,28.17424352773381,14.199078922426995,29.13769440851213,0.05
24,1.3178997146734341,0.44765538741659894,1.4633020657782396,29.492143242407227,14.6467343098436,30.600996474290366,0.05
25,1.3199922642559352,0.44556283783409806,1.2989353549444678,30.812135506663186,15.092297147677689,31.89993182923483,0.05
26,1.357074806147601,0.40848029594243196,1.3286431792152933,32.16921031281076,15.500777443620125,33.2285750084501,0.05
27,1.366688856668694,0.398866245421339,1.4681034526538645,33.53589916947946,15.899643689041461,34.696678461103964,0.05
28,1.4067202738187503,0.35883482827128277,1.3258481140988465,34.94261944329821,16.25847851731275,36.02252657520281,0.05
29,1.3714291687969435,0.3941259332930896,1.3480961461970569,36.31404861209518,16.652604450605835,37.37062272139989,0.05
