Method,knowledge_evolving_time_step,item_removal,Round,Cumulative Regret
Optimal Policy,0,0,5,0.0
Optimal Policy,0,0,10,0.0
Optimal Policy,0,0,20,0.0
Optimal Policy,0,0,30,0.0
Greedy Algorithm,0,0,5,4.226308214098582
Greedy Algorithm,0,0,10,8.327502669193514
Greedy Algorithm,0,0,20,16.59151486070406
Greedy Algorithm,0,0,30,23.602107080279676
Epsilon-Greedy,0,0,5,4.3022602836438235
Epsilon-Greedy,0,0,10,8.579243292472755
Epsilon-Greedy,0,0,20,17.13320931013062
Epsilon-Greedy,0,0,30,25.12004999074035
GLM-UCB,0,0,5,3.782234856156914
GLM-UCB,0,0,10,6.809849223392947
GLM-UCB,0,0,20,13.424244420472261
GLM-UCB,0,0,30,20.038639617551564
Fisher Information Exploration,0,0,5,4.365513593231336
Fisher Information Exploration,0,0,10,8.945726531016536
Fisher Information Exploration,0,0,20,18.105236198338666
Fisher Information Exploration,0,0,30,27.03052818927052
Classical Thompson Sampling,0,0,5,2.447512600486972
Classical Thompson Sampling,0,0,10,5.893460363670305
Classical Thompson Sampling,0,0,20,14.060655941809886
Classical Thompson Sampling,0,0,30,21.26455071215037
Direct Bayesian Inference,0,0,5,4.267572195340975
Direct Bayesian Inference,0,0,10,8.53514439068195
Direct Bayesian Inference,0,0,20,17.070288781363907
Direct Bayesian Inference,0,0,30,25.605433172045863
Improved UCB,0,0,5,2.727508387217571
Improved UCB,0,0,10,5.455016774435143
Improved UCB,0,0,20,10.910033548870286
Improved UCB,0,0,30,16.39906367019525
Random Baseline,0,0,5,3.3475240301993194
Random Baseline,0,0,10,6.703339713210833
Random Baseline,0,0,20,13.369020264777351
Random Baseline,0,0,30,18.459590005346612
IRT decision rule,0,0,5,2.963339531140332
IRT decision rule,0,0,10,6.973855298835819
IRT decision rule,0,0,20,13.411014373318949
IRT decision rule,0,0,30,20.556226975967487
Optimal Policy,0,1,5,0.0
Optimal Policy,0,1,10,0.0
Optimal Policy,0,1,20,0.0
Optimal Policy,0,1,30,0.0
Greedy Algorithm,0,1,5,1.9710288393294237
Greedy Algorithm,0,1,10,4.605516771925349
Greedy Algorithm,0,1,20,7.379209925588055
Greedy Algorithm,0,1,30,7.74539480000591
Epsilon-Greedy,0,1,5,3.0388297619921363
Epsilon-Greedy,0,1,10,4.428184941069662
Epsilon-Greedy,0,1,20,6.427060113399281
Epsilon-Greedy,0,1,30,9.887713965423345
GLM-UCB,0,1,5,3.763313221294998
GLM-UCB,0,1,10,5.81237800991774
GLM-UCB,0,1,20,8.17172452396645
GLM-UCB,0,1,30,10.24183049657766
Fisher Information Exploration,0,1,5,3.2136930568497326
Fisher Information Exploration,0,1,10,5.913244626765717
Fisher Information Exploration,0,1,20,8.751305982912564
Fisher Information Exploration,0,1,30,11.629859386497225
Classical Thompson Sampling,0,1,5,2.344206121947596
Classical Thompson Sampling,0,1,10,4.788053542096756
Classical Thompson Sampling,0,1,20,8.109993103209403
Classical Thompson Sampling,0,1,30,11.23435116255568
Direct Bayesian Inference,0,1,5,3.815807230400284
Direct Bayesian Inference,0,1,10,5.902729905725837
Direct Bayesian Inference,0,1,20,9.523765956893326
Direct Bayesian Inference,0,1,30,12.821707865718032
Improved UCB,0,1,5,4.336652114563502
Improved UCB,0,1,10,7.821387278539806
Improved UCB,0,1,20,15.64542738357233
Improved UCB,0,1,30,22.582338524674892
Random Baseline,0,1,5,3.055404305373828
Random Baseline,0,1,10,6.185395447956928
Random Baseline,0,1,20,14.428826570223553
Random Baseline,0,1,30,21.265690918675713
IRT decision rule,0,1,5,4.0726059268899055
IRT decision rule,0,1,10,7.250147455294292
IRT decision rule,0,1,20,12.418617825690802
IRT decision rule,0,1,30,17.603610745206538
Optimal Policy,5,0,5,0.0
Optimal Policy,5,0,10,0.0
